id,Completed,Last page seen,Start language,0,Course type,Course name,1.1.1 [Other],1.1.2,1.1.2 [Other],Graduated,Start year,Finish year,1.4.1 [University 1] Name,1.4.1 [University 2] Name,1.4.1 [University 3] Name,Nationality,Other nationality,Second nationality,Age,Gender,2.1.4 [Housing],2.1.4 [Visa/Residence Permit],2.1.4 [Banking],2.1.4 [Language Courses],2.1.4 [Health/Insurance],2.1.4 [Recreation],2.1.4 [Issues related to your family and their relocation],2.1.4 [Estimation of living expenses],2.1.4 [Local Transportation],2.1.5 [Housing],2.1.5 [Visa/Residence Permit],2.1.5 [Banking],2.1.5 [Language Courses],2.1.5 [Health/Insurance],2.1.5 [Recreation],2.1.5 [Issues related to your family and their relocation],2.1.5 [Estimation of living expenses],2.1.5 [Local Transportation],2.1.6 [Housing],2.1.6 [Visa/Residence Permit],2.1.6 [Banking],2.1.6 [Language Courses],2.1.6 [Health/Insurance],2.1.6 [Recreation],2.1.6 [Issues related to your family and their relocation],2.1.6 [Estimation of living expenses],2.1.6 [Local Transportation],2.2.4 [Enrolling in classes ],2.2.4 [Performance Reqs.],2.2.4 [Standards of Behaviour],2.2.4 [Evaluation Methods and Timetable],2.2.4 [Course Content],2.2.4 [Fieldwork],2.2.5 [Enrolling in classes ],2.2.5 [Performance Reqs.],2.2.5 [Standards of Behaviour],2.2.5 [Evaluation Methods and Timetable],2.2.5 [Course Content],2.2.5 [Fieldwork],2.2.6 [Enrolling in classes ],2.2.6 [Performance Reqs.],2.2.6 [Standards of Behaviour],2.2.6 [Evaluation Methods and Timetable],2.2.6 [Course Content],2.2.6 [Fieldwork],2.3.1 [Faculty],2.3.1 [Course administrators],2.3.1 [University resources],2.3.1 [International Student Office],2.3.1 [Student Associations],2.3.1 [Other Students],2.3.2 [Faculty],2.3.2 [Course administrators],2.3.2 [University resources],2.3.2 [International Student Office],2.3.2 [Student Associations],2.3.2 [Other Students],2.3.3 [Faculty],2.3.3 [Course administrators],2.3.3 [University resources],2.3.3 [International Student Office],2.3.3 [Student Associations],2.3.3 [Other Students],2.5.1 [University 1],2.5.1 [University 2],2.5.1 [University 3],2.5.2. How could your orientation and integration experience (either professional or personal) have been improved in any way?,3.1 [I could approach my course coordinator with questions or problems related to my studies and mobility experience.],3.1 [My course coordinator referred me to appropriate university administrative resources as needed.],3.1 [I felt confident that my course coordinator would follow up on any unresolved administrative issues or questions after addressing these with him/her.],4.1.1. Formalized feedback system: All universities combined,4.1.2. Formalized feedback system: Consortium,4.2.1 [Quality of the courses provided  ],4.2.1 [Quality of the services offered],4.2.2 [Quality of the courses provided  ],4.2.2 [Quality of the services offered],4.2.3 [Quality of the courses provided  ],4.2.3 [Quality of the services offered],4.3. Describe course feedback channels,4.5. Procedure for raising issues with the entire consortium,4.6. Consortium implementing recommendaions given by students,4.6 - Comment,4.7. Recommendation to improve feedback channels,5.1.1 [Academic Support],5.1.1 [Administrative Support],5.1.2 [Academic Support],5.1.2 [Administrative Support],5.1.3 [Academic Support],5.1.3 [Administrative Support],5.2 [My lecturers provided me enough time for individual consultations.],5.2 [My lecturers were available by email and responded in a timely manner.],5.2 [My supervisor provided valuable advice during my thesis work.],5.2 [Standby professors were available for consultation if the lead supervisor was unavailable.],6.1. Awareness over te existance of EMA,6.2. Awareness over the possibility of each course to elect an EMA course representative,6.3. Most important issue to be addressed by course representative,7.1. Three most important aspects of student experience that could be improved,7.2. Additional comments and suggestions,8.1. Overall academic quality,8.2. Overall balance of course workload,8.3. Consistency of assessment,8.4. Quality of internship,8.5. Use of innovative technologies,8.6. Understanding the state of the art of your discipline,8.7. Balance of academic mobility path in relation to academic needs,9.1. Achievement beyond expectations,"9.2. Provision of certificates, transcripts etc",9.3. Enhancement of employment,9.4. Information about degree and certificates,9.5. Provision of soft skills,9.6. Provision of monthly allowance
3069,,6,en,090688UZJO,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis","AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,No,13,15,Catholic University of Louvain,,,Nigerian,,,25,Female,Excellent,Good,Good,Good,Adequate,Adequate,,Good,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Adequate,Adequate,Adequate,,,,,,,,,,,,,Excellent,Good,Adequate,Inadequate,Inadequate,Inadequate,,,,,,,,,,,,,Good,,,,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,
525,1980-01-01 00:00:00,13,en,131313xxyy,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis","AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,Yes,10,12,Swedish University of Agricultural Sciences,Catholic University of Louvain,,German,,,26,Female,Good,Excellent,,Good,,Excellent,,Good,Excellent,Good,Excellent,,Excellent,,Good,,Good,,,,,,,,,,,Good,,,Good,Good,Good,Adequate,,,Good,Good,Good,,,,,,,Adequate,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Adequate,Adequate,Good,,,,,,,Good,Excellent,,,Strongly agree,Disagree,Strongly agree,"Yes, all universities do",Somewhat (weak or unclear systems),Yes,No,Yes,No,,,Strong,"facebook (disussion with students), followed by an e-mail to course coordinator",Yes,"several improvements during time, thanks!",,Good,Excellent,Excellent,Good,,,Agree,Agree,Strongly agree,,Yes,Yes,,,,Excellent,Good,Good,No answer,Adequate,Good,Excellent,Good,Adequate,Good,Adequate,Excellent,Good
1317,1980-01-01 00:00:00,13,en,251186KAUR,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis","AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,Yes,11,13,University of Bonn,Catholic University of Louvain,,Polish,,,26,Female,Excellent,,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Excellent,,,,,,,,,,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,Excellent,Excellent,,I acquired vast knowledge thanks to many professionals and students that I have met during my studies in both universities.,Strongly agree,Strongly agree,Strongly agree,"Yes, all universities do",Yes,Yes,Yes,Yes,Yes,,,Strong,Send an email to the consortium officials,Yes,We proposed that EU students should be able to work during the studies due to lower scholarship and living costs. The consortium is now working to change it.,N/A,Good,Good,,,Excellent,Excellent,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Yes,"Cooperation with different lecturers, diversity of courses","I would like to work during the studies because it gives the opportunity to gain experience through different internships. Also, it should be possible to do an internship during for example 3 months while studying.  Language classes should be available in all universities for free during a whole year.","The European Union citizens get 500 euro per month. Therefore, they should be given the opportunity to earn money during the studies.",Excellent,Excellent,Excellent,No answer,Good,Excellent,Excellent,Excellent,Adequate,Good,Excellent,Excellent,Good
481,1980-01-01 00:00:00,13,en,241084,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,Yes,11,13,University of Bonn,Swedish University of Agricultural Sciences,,Ethiopian,,,29,Female,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Adequate,Good,Good,Good,Good,Good,Good,Excellent,,,,,,,,,,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,,,,,,,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,Excellent,Excellent,,,Strongly agree,Strongly agree,Strongly agree,"Some do, other do not",Yes,Somewhat,Somewhat,Yes,Yes,,,Strong,he or she has to contact the cordinator in belgium and the cordinatore will bring the matter to the attention of the entire consortium.,Yes,,to establish a clear and explicit mechanism at university 1,Good,Good,Excellent,Excellent,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,1. Amending the student contract specifically about the posiblitlty of engaging part time job/ emplyment.  2. possiblity of extending the two year contract for at least one semiser due to health problems,unananimous examintion to avoid the possible disscremination,,Excellent,Good,Excellent,No answer,Excellent,Excellent,Good,Excellent,Good,Good,Good,Excellent,Adequate
2401,1980-01-01 00:00:00,13,en,01/11/85DA,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,Yes,10,12,Swedish University of Agricultural Sciences,University of Bonn,,Ethiopian,,,28,Male,Good,Excellent,Excellent,Excellent,Good,Inadequate,,Adequate,Adequate,Excellent,Inadequate,Good,Excellent,Good,Adequate,,Good,Excellent,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Adequate,Very inadequate,Very inadequate,Good,Inadequate,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Inadequate,Inadequate,Very inadequate,Inadequate,Good,,,,,,,Excellent,Inadequate,,Yes,Agree,Agree,Agree,"Some do, other do not",Yes,Yes,Yes,No,No,,,Very strong,,Yes,They are learning by doing. I saw a lot of improvement.,,Excellent,Excellent,Inadequate,Inadequate,,,Strongly agree,Strongly agree,Disagree,Neutral,Yes,Yes,.student's grievances,the program overall is very crucial and overwhelming experience but there are many things that partner universities have to do.,Let the funding of the program continue. But some individual universities are not abiding the consortium agreements. So they must be either corrected or kicked out and others replace them.,Excellent,Excellent,Very inadequate,Very inadequate,Good,Good,Good,Good,Very inadequate,Adequate,Good,Good,Adequate
2525,1980-01-01 00:00:00,13,en,010383esfr,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,No,11,13,Catholic University of Louvain,University of Bonn,,Spanish,,,30,Female,Good,Good,Good,Good,Good,Good,,Inadequate,Inadequate,Good,Good,Good,Inadequate,Good,Good,,Adequate,Excellent,,,,,,,,,,Excellent,Adequate,,Good,Good,Good,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,,,,,,,Good,Adequate,Adequate,Good,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Good,,,,,,,Good,Adequate,,More professional-oriented lectures.,Agree,Agree,Agree,I am not sure,I am not sure,Somewhat,Somewhat,No,No,,,Weak,Sending an email to the coordinator university. They are the ones that follow up on everything.,Yes,,,Excellent,Good,Inadequate,Adequate,,,Agree,Neutral,Agree,Agree,Yes,Yes,"In a such small program as AFEPA, the issues can be treated directly with the main coordinator university. I never needed to ask the EMA representative for any help.",The amount of the scholarship for europeans.,"The scholarship only takes into account the country of origin, while several other matters influence our economic possibilities. Being european does not mean being rich, or at least, we should be allowed to work during the masters program.",Good,Good,No answer,Very inadequate,Adequate,Good,No answer,,,,Good,Good,Inadequate
2302,1980-01-01 00:00:00,13,en,02/12/1988,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,No,12,14,Catholic University of Louvain,University of Bonn,,Tunisian,,,24,Female,Excellent,Excellent,Excellent,Good,,Good,,Good,Good,Good,Good,Good,,,Good,,Excellent,Excellent,,,,,,,,,,Excellent,Good,Good,Adequate,Good,,Good,Good,Good,Good,Excellent,,,,,,,,Excellent,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,,,,,,,Excellent,Excellent,,,Agree,Strongly agree,Strongly agree,"Yes, all universities do",Yes,Yes,Yes,,,,,Strong,,Yes,,,Good,,Good,,,,Agree,Strongly agree,,,Yes,Yes,,,,Excellent,Adequate,Good,Good,Good,Good,Good,,,,Good,Good,Good
1829,1980-01-01 00:00:00,13,en,020891ULRU,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,No,12,14,University of Bonn,Swedish University of Agricultural Sciences,,Ukrainian,,,22,Female,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,,,,,,,,,,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,Excellent,Excellent,,An organized dinner/picknick/etc to invite all participants of AFEPA for an informal get-together,Strongly agree,Strongly agree,Strongly agree,I am not sure,I am not sure,Yes,Somewhat,Somewhat,Somewhat,,,Adequate,I guess by means of e-mail,Yes,Regarding the summer school schedules and  learning agreements,To aks/servey for feedback of participants each year in each respective university with regard to the AFEPA programme and students' experience with details and comments for improvement/synchronization for that particular university (would be more detailed than overall summer school serveying),Excellent,Excellent,Excellent,Excellent,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,delivering information on various opportunities; raising awareness about and defending students' rights,"time and support for doing an internship; participation in conferences on related topics (perhaps of other EM programmes); perhaps more exposion to policy making via visits, meetings with decision makers (as my programme is Policy analysis)","Overall, I am extremely happy to have been able to participate in my programme! This is a tremendous opportunity.",Excellent,Excellent,Excellent,Inadequate,Excellent,Excellent,Excellent,,,,Good,Good,Excellent
3177,1980-01-01 00:00:00,13,en,031288YUKU,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,No,12,14,University of Bonn,Swedish University of Agricultural Sciences,,Taiwanese,,,25,Female,Excellent,Excellent,Good,Adequate,Good,Adequate,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Good,,,,,,,,,,Adequate,Excellent,Good,Good,Good,Adequate,Excellent,Excellent,Good,Good,Good,Adequate,,,,,,,Adequate,Excellent,Good,Adequate,Inadequate,Excellent,Good,Adequate,Good,Excellent,Excellent,Good,,,,,,,Good,Excellent,,"Arrange more activities to let classmates have more chance to meet each other, disclose available schools' or regional academic resources for students.",Agree,Neutral,Neutral,"Yes, all universities do",Yes,Yes,Yes,Yes,No,,,Strong,post the information on our Facebook group,Yes,"some issue(like improve the coordinator efficiency and course quality), not really sufficient enough...but overall, it's good","We have a good system, but sometime if the issues are regarding staff(coordinator or teachers)it's not easy to handle.for this, it might be great to give us more options, like more classes to choose",Adequate,Adequate,Excellent,Excellent,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,The quality of courses,"argue(debate) in international issues, agricultural knowledge, logical consideration",,Excellent,Excellent,Excellent,Very inadequate,Adequate,Excellent,Good,,,,Good,Good,Good
2299,1980-01-01 00:00:00,13,en,050185EMOT,Master course,"AFEPA - European Master in Agricultural, Food and Environmental Policy Analysis",,,,Yes,10,12,Swedish University of Agricultural Sciences,University of Bonn,,Ghanaian,,,28,Male,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Adequate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Adequate,Excellent,Excellent,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Adequate,Adequate,Adequate,Adequate,,,,,,,Excellent,Excellent,,,Strongly agree,Strongly agree,Strongly agree,"Yes, all universities do",Yes,Yes,Yes,Yes,Yes,,,Strong,Write an email or directly call the programme coodinator(s).,Yes,Yes because I was part of the pioneer group and the suggestions we offered to avoid some of little challenges we were confronted with were implemented such that those who came after us didn´t have those challenges.,,Excellent,Excellent,Good,Good,,,Agree,Strongly agree,Agree,Neutral,Yes,Yes,,The opportunity to gain some experience from an internship programme,,Excellent,Good,Adequate,Inadequate,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent
